experiment_id,experiment_version,status,date,git_commit,dataset,train_sites,test_sites,seq_len,pred_len,train_ratio,valid_ratio,test_ratio,seed,batch_size,learning_rate,max_epochs,checkpoint_metric,modalities,missing_modality_setting,ctx_masking_ratio,ts_masking_ratio,vq_in_ts,vq_in_ctx,vq_in_guide,data_split_version,scaler_version,output_dir,checkpoint_path,prediction_path,target_path,mae,rmse,mape,nmae,nrmse,notes,embedding_extracted,embedding_types,embedding_pooling,embedding_dim,embedding_output_dir,embedding_checkpoint
fusionSF_train10_test10,baseline_v0_legacy,legacy_preliminary,2026-07-28,unknown_dirty_worktree,MMSP,0-9,0-9,24,24,0.6,0.2,0.2,42,16,0.0016,100,val/mae,power|future_nwp|satellite,full_modalities,0.99,0,true,true,false,window_split_v0,global_fit_v0,logs/fusionSF_train10_test10/runs/1,logs/fusionSF_train10_test10/runs/1/checkpoints/epoch_epoch=008.ckpt,logs/fusionSF_train10_test10/runs/1/src.models.fusionSF_3modal.FusionSF3M/outputs.npy,logs/fusionSF_train10_test10/runs/1/src.models.fusionSF_3modal.FusionSF3M/targets.npy,0.0405198213,0.0858089276,1392.653564,,,Preliminary; split/scaler leakage risk,false,,,,,
fusionSF_power_optimized_train10_test10,baseline_v0_legacy,legacy_preliminary,2026-07-29,unknown_dirty_worktree,MMSP,0-9,0-9,24,24,0.6,0.2,0.2,42,16,0.0016,100,val/mae,power,missing_satellite_and_nwp,0.99,0,true,false,false,window_split_v0,global_fit_v0,logs/fusionSF_power_optimized_train10_test10/runs/1,logs/fusionSF_power_optimized_train10_test10/runs/1/checkpoints/epoch_epoch=001.ckpt,logs/fusionSF_power_optimized_train10_test10/runs/1/src.models.fusionSF_3modal.FusionSF3M/outputs.npy,logs/fusionSF_power_optimized_train10_test10/runs/1/src.models.fusionSF_3modal.FusionSF3M/targets.npy,0.1787382871,0.3044931048,0.697821,,,Degenerate all-zero predictions; invalid ablation,false,,,,,
fusionSF_power_nwp_optimized_train10_test10,baseline_v0_legacy,legacy_preliminary,2026-07-29,unknown_dirty_worktree,MMSP,0-9,0-9,24,24,0.6,0.2,0.2,42,16,0.0016,100,val/mae,power|future_nwp,missing_satellite,0.99,0,true,false,false,window_split_v0,global_fit_v0,logs/fusionSF_power_nwp_optimized_train10_test10/runs/1,logs/fusionSF_power_nwp_optimized_train10_test10/runs/1/checkpoints/epoch_epoch=001.ckpt,logs/fusionSF_power_nwp_optimized_train10_test10/runs/1/src.models.fusionSF_3modal.FusionSF3M/outputs.npy,logs/fusionSF_power_nwp_optimized_train10_test10/runs/1/src.models.fusionSF_3modal.FusionSF3M/targets.npy,0.1787382871,0.3044931048,0.697821,,,Degenerate all-zero predictions; invalid ablation,false,,,,,
fusionsf_zeroshot_train10_19_test0_9,baseline_v0_legacy,legacy_preliminary,2026-07-30,unknown_dirty_worktree,MMSP,10-19,0-9,24,24,0.6,0.2,0.2,42,16,0.0016,100,val/mae,power|future_nwp|satellite,full_modalities,0.85,0,false,false,false,window_split_v0,global_fit_v0,logs/fusionsf_zeroshot_train10_19_test0_9/runs/1,logs/fusionsf_zeroshot_train10_19_test0_9/runs/1/checkpoints/epoch_epoch=007.ckpt,logs/fusionsf_zeroshot_train10_19_test0_9/runs/1/src.models.fusionSF_3modal.FusionSF3M/outputs.npy,logs/fusionsf_zeroshot_train10_19_test0_9/runs/1/src.models.fusionSF_3modal.FusionSF3M/targets.npy,0.0443967298,0.0956509257,1482.835084,,,Preliminary cross-site result; different model settings from in-domain run,false,,,,,
20260730_205613_fusionsf3m_sites2_seq24_pred24_seed42,pipeline_v1_fixed,valid_or_debug,2026-07-30,4e8ad9f79a4813e36789f44fa2155b68e7b84ddd,MMSP,0-1,0-1,24,24,0.6,0.2,0.2,42,2,0.0016,1,val/mae,power|future_nwp|satellite,full_modalities,0.85,0.15,False,False,False,chronological_target_split_v1,train_only_fit_v1,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_205613_fusionsf3m_sites2_seq24_pred24_seed42,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_205613_fusionsf3m_sites2_seq24_pred24_seed42/checkpoints/epoch_epoch=000.ckpt,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_205613_fusionsf3m_sites2_seq24_pred24_seed42/predictions.npy,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_205613_fusionsf3m_sites2_seq24_pred24_seed42/targets.npy,0.219990210461674,0.28273980817148314,56.05504315357996,,,Capacity-normalized metrics are empty until station capacity metadata is supplied.,true,both,none|mean,16,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_205613_fusionsf3m_sites2_seq24_pred24_seed42/embedding_export_test_v1,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_205613_fusionsf3m_sites2_seq24_pred24_seed42/checkpoints/epoch_epoch=000.ckpt
20260730_210048_fusionsf3m_sites2_seq24_pred24_seed42,pipeline_v1_fixed,valid_or_debug,2026-07-30,4e8ad9f79a4813e36789f44fa2155b68e7b84ddd,MMSP,0-1,0-1,24,24,0.6,0.2,0.2,42,2,0.0016,1,val/mae,power|future_nwp|satellite,full_modalities,0.85,0.15,False,False,False,chronological_target_split_v1,train_only_fit_v1,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_210048_fusionsf3m_sites2_seq24_pred24_seed42,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_210048_fusionsf3m_sites2_seq24_pred24_seed42/checkpoints/epoch_epoch=000.ckpt,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_210048_fusionsf3m_sites2_seq24_pred24_seed42/predictions.npy,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_210048_fusionsf3m_sites2_seq24_pred24_seed42/targets.npy,0.219990210461674,0.28273980817148314,56.05504315357996,,,Capacity-normalized metrics are empty until station capacity metadata is supplied.,false,,,,,
chronos2_mmsp_site0_9,baseline_v0_legacy,legacy_preliminary,2026-07-29,unknown_dirty_worktree,MMSP,none,0-9,24,24,,,,42,,,,,power,full_modalities,,,,,,external_pretrained_v0,model_internal_or_global_v0,logs/chronos2_mmsp_site0_9,,logs/chronos2_mmsp_site0_9/outputs.npy,logs/chronos2_mmsp_site0_9/targets.npy,0.0661517122,0.136996269,,,,Pretrained Chronos-2; historical power only,false,,,,,
chronos2_nwp_mmsp_site0_9,baseline_v0_legacy,legacy_preliminary,2026-07-29,unknown_dirty_worktree,MMSP,none,0-9,24,24,,,,42,,,,,power|past_nwp|future_nwp,full_modalities,,,,,,external_pretrained_v0,model_internal_or_global_v0,logs/chronos2_nwp_mmsp_site0_9,,logs/chronos2_nwp_mmsp_site0_9/outputs.npy,logs/chronos2_nwp_mmsp_site0_9/targets.npy,0.0610139352,0.1178055925,,,,Pretrained Chronos-2; past and future NWP,false,,,,,
chronos2_future_nwp_only_mmsp_site0_9,baseline_v0_legacy,legacy_preliminary,2026-07-29,unknown_dirty_worktree,MMSP,none,0-9,24,24,,,,42,,,,,power|future_nwp,full_modalities,,,,,,external_pretrained_v0,model_internal_or_global_v0,logs/chronos2_future_nwp_only_mmsp_site0_9,,logs/chronos2_future_nwp_only_mmsp_site0_9/outputs.npy,logs/chronos2_future_nwp_only_mmsp_site0_9/targets.npy,0.0632332603,0.1303282393,,,,Pretrained Chronos-2; future NWP only,false,,,,,
20260730_211537_fusionsf3m_sites3_seq24_pred24_seed42,pipeline_v1_fixed,valid_or_debug,2026-07-30,4e8ad9f79a4813e36789f44fa2155b68e7b84ddd,MMSP,0-2,0-2,24,24,0.6,0.2,0.2,42,16,0.0016,3,val/mae,power|future_nwp|satellite,full_modalities,0.85,0.15,False,False,False,chronological_target_split_v1,train_only_fit_v1,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_211537_fusionsf3m_sites3_seq24_pred24_seed42,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_211537_fusionsf3m_sites3_seq24_pred24_seed42/checkpoints/epoch_epoch=002.ckpt,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_211537_fusionsf3m_sites3_seq24_pred24_seed42/predictions.npy,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260730_211537_fusionsf3m_sites3_seq24_pred24_seed42/targets.npy,0.04421339596770691,0.0885827908094961,3731.1702115756934,,,Capacity-normalized metrics are empty until station capacity metadata is supplied.,false,,,,,
