model,mae,rmse,mse,windows,prediction_length,values,horizon
All modalities,0.041288567768459135,0.0873007693026534,0.007621424320835112,25580,1,25580,1
Power,0.17911136334163003,0.30517022382812475,0.09312886551130777,25580,1,25580,1
Power + NWP,0.17911136334163003,0.30517022382812475,0.09312886551130777,25580,1,25580,1
All modalities,0.040784428485510824,0.08614936998003747,0.007421713947957382,25580,1,25580,2
Power,0.17880495817832462,0.3047752774155291,0.09288796972371274,25580,1,25580,2
Power + NWP,0.17880495817832462,0.3047752774155291,0.09288796972371274,25580,1,25580,2
All modalities,0.040349741566611995,0.085322574249235,0.0072799416765162205,25580,1,25580,3
Power,0.17848997952290416,0.30435621399012003,0.09263270499439973,25580,1,25580,3
Power + NWP,0.17848997952290416,0.30435621399012003,0.09263270499439973,25580,1,25580,3
All modalities,0.04033673046405009,0.08517231342819899,0.007254322974711366,25580,1,25580,4
Power,0.1781903853670956,0.3039772302353282,0.09240215650154172,25580,1,25580,4
Power + NWP,0.1781903853670956,0.3039772302353282,0.09240215650154172,25580,1,25580,4
All modalities,0.040073504651785205,0.08494421758507142,0.007215520101139957,25580,1,25580,5
Power,0.17791076515416449,0.3036468239887671,0.0922013937184653,25580,1,25580,5
Power + NWP,0.17791076515416449,0.3036468239887671,0.0922013937184653,25580,1,25580,5
All modalities,0.040143124292775105,0.08516750101125757,0.0072535032285025594,25580,1,25580,6
Power,0.17769675555682485,0.3034509837687929,0.09208249955024822,25580,1,25580,6
Power + NWP,0.17769675555682485,0.3034509837687929,0.09208249955024822,25580,1,25580,6
All modalities,0.040123496028074856,0.08510885149009303,0.007243516601962712,25580,1,25580,7
Power,0.17755628597240888,0.3033503880728105,0.09202145794392474,25580,1,25580,7
Power + NWP,0.17755628597240888,0.3033503880728105,0.09202145794392474,25580,1,25580,7
All modalities,0.04015080343252909,0.08505764493338697,0.007234802961614129,25580,1,25580,8
Power,0.17756843870966446,0.3033551381501017,0.09202433984206729,25580,1,25580,8
Power + NWP,0.17756843870966446,0.3033551381501017,0.09202433984206729,25580,1,25580,8
All modalities,0.04016561164721572,0.08518289314060057,0.007256125283802975,25580,1,25580,9
Power,0.1776840592343028,0.30341386870600157,0.09205997572314276,25580,1,25580,9
Power + NWP,0.1776840592343028,0.30341386870600157,0.09205997572314276,25580,1,25580,9
All modalities,0.04010544790498809,0.08516107890413531,0.007252409360116361,25580,1,25580,10
Power,0.17787065487524323,0.30356128935046445,0.09214945639211641,25580,1,25580,10
Power + NWP,0.17787065487524323,0.30356128935046445,0.09214945639211641,25580,1,25580,10
All modalities,0.04008203512497665,0.08519138069305277,0.007257571344388643,25580,1,25580,11
Power,0.17810402484990379,0.3037916428448986,0.09228936226240246,25580,1,25580,11
Power + NWP,0.17810402484990379,0.3037916428448986,0.09228936226240246,25580,1,25580,11
All modalities,0.03995728149037222,0.08504426268042246,0.007232526614856697,25580,1,25580,12
Power,0.17836719926415442,0.30408441058184543,0.09246732875890834,25580,1,25580,12
Power + NWP,0.17836719926415442,0.30408441058184543,0.09246732875890834,25580,1,25580,12
All modalities,0.040051488009805326,0.08539621503208535,0.00729251354180616,25580,1,25580,13
Power,0.17864108292343506,0.3044011825110288,0.09266007991411268,25580,1,25580,13
Power + NWP,0.17864108292343506,0.3044011825110288,0.09266007991411268,25580,1,25580,13
All modalities,0.04016203500345362,0.08520805973190952,0.007260413443276661,25580,1,25580,14
Power,0.17890672076468866,0.3046986613751606,0.0928412742438148,25580,1,25580,14
Power + NWP,0.17890672076468866,0.3046986613751606,0.0928412742438148,25580,1,25580,14
All modalities,0.04004147674810719,0.08537481002929694,0.007288858187538542,25580,1,25580,15
Power,0.1791496159356459,0.30494743586834683,0.0929929386426795,25580,1,25580,15
Power + NWP,0.1791496159356459,0.30494743586834683,0.0929929386426795,25580,1,25580,15
All modalities,0.040246550321101304,0.08532960771681773,0.007281141953105999,25580,1,25580,16
Power,0.1793530719375607,0.30512206657944857,0.09309947551371346,25580,1,25580,16
Power + NWP,0.1793530719375607,0.30512206657944857,0.09309947551371346,25580,1,25580,16
All modalities,0.04019686141973149,0.08544987780818808,0.007301681617434274,25580,1,25580,17
Power,0.17949072750749914,0.3052047750794924,0.09314995473132354,25580,1,25580,17
Power + NWP,0.17949072750749914,0.3052047750794924,0.09314995473132354,25580,1,25580,17
All modalities,0.04026967936941697,0.08541975336302524,0.007296534264600062,25580,1,25580,18
Power,0.17956862273786986,0.30523134447866396,0.09316617365225283,25580,1,25580,18
Power + NWP,0.17956862273786986,0.30523134447866396,0.09316617365225283,25580,1,25580,18
All modalities,0.04036348920581521,0.08544173532705057,0.007300290135697761,25580,1,25580,19
Power,0.17959274777700948,0.3052342611202894,0.09316795416164902,25580,1,25580,19
Power + NWP,0.17959274777700948,0.3052342611202894,0.09316795416164902,25580,1,25580,19
All modalities,0.0402874701371271,0.08526121065346763,0.007269474042094983,25580,1,25580,20
Power,0.1795954920303279,0.30523432407124457,0.09316799259122954,25580,1,25580,20
Power + NWP,0.1795954920303279,0.30523432407124457,0.09316799259122954,25580,1,25580,20
All modalities,0.04042678274436572,0.08556836056928181,0.007321944330514621,25580,1,25580,21
Power,0.17959548909835135,0.3052343240821774,0.0931679925979037,25580,1,25580,21
Power + NWP,0.17959548909835135,0.3052343240821774,0.0931679925979037,25580,1,25580,21
All modalities,0.04087008136166286,0.08613453208287265,0.007419157617135417,25580,1,25580,22
Power,0.17958615156894756,0.30523386065273017,0.09316770968897031,25580,1,25580,22
Power + NWP,0.17958615156894756,0.30523386065273017,0.09316770968897031,25580,1,25580,22
All modalities,0.042081528905383234,0.08818959161811088,0.007777404069769173,25580,1,25580,23
Power,0.179509668378765,0.30520901443605647,0.09315254249302894,25580,1,25580,23
Power + NWP,0.179509668378765,0.30520901443605647,0.09315254249302894,25580,1,25580,23
All modalities,0.04391749477921862,0.09156056812978892,0.008383337636249719,25580,1,25580,24
Power,0.17937462854367894,0.30512886166700703,0.09310362222220352,25580,1,25580,24
Power + NWP,0.17937462854367894,0.30512886166700703,0.09310362222220352,25580,1,25580,24
