model,mae,rmse,mse,windows,prediction_length,values,site
All modalities,0.030959286651539023,0.06781803288832423,0.004599285584841828,2558,24,61392,0
Power,0.1783965977922702,0.3052993830057086,0.09320771326366634,2558,24,61392,0
Power + NWP,0.1783965977922702,0.3052993830057086,0.09320771326366634,2558,24,61392,0
All modalities,0.04118267923633661,0.08797900283370545,0.007740304939613152,2558,24,61392,1
Power,0.17465305602049822,0.3017582189902138,0.09105802272814584,2558,24,61392,1
Power + NWP,0.17465305602049822,0.3017582189902138,0.09105802272814584,2558,24,61392,1
All modalities,0.038132550912541606,0.08119625766037969,0.006592832258050766,2558,24,61392,2
Power,0.18060246352817508,0.3100635980269462,0.0961394348214157,2558,24,61392,2
Power + NWP,0.18060246352817508,0.3100635980269462,0.0961394348214157,2558,24,61392,2
All modalities,0.03934968300355275,0.08316923585277389,0.006917121792334329,2558,24,61392,3
Power,0.1848022032317704,0.31311544185192286,0.0980412799261249,2558,24,61392,3
Power + NWP,0.1848022032317704,0.31311544185192286,0.0980412799261249,2558,24,61392,3
All modalities,0.044519170753387245,0.08643018919578632,0.00747017760441942,2558,24,61392,4
Power,0.18758142706687325,0.3193289620636472,0.10197098601264623,2558,24,61392,4
Power + NWP,0.18758142706687325,0.3193289620636472,0.10197098601264623,2558,24,61392,4
All modalities,0.03681535451445844,0.08146448321718966,0.006636462025843775,2558,24,61392,5
Power,0.17761141904554523,0.3006891276181891,0.09041395146778762,2558,24,61392,5
Power + NWP,0.17761141904554523,0.3006891276181891,0.09041395146778762,2558,24,61392,5
All modalities,0.04863761069194394,0.10646152666587357,0.01133405666002851,2558,24,61392,6
Power,0.17190838520615326,0.29576199734242664,0.08747515907198157,2558,24,61392,6
Power + NWP,0.17190838520615326,0.29576199734242664,0.08747515907198157,2558,24,61392,6
All modalities,0.04935084137042005,0.09514918225628156,0.009053366884039087,2558,24,61392,7
Power,0.19297811736859938,0.32207653312269563,0.10373329318833485,2558,24,61392,7
Power + NWP,0.19297811736859938,0.32207653312269563,0.10373329318833485,2558,24,61392,7
All modalities,0.03531295974752898,0.0764002875774688,0.005837003941919934,2558,24,61392,8
Power,0.17059604948498006,0.28748124962331534,0.08264546888498293,2558,24,61392,8
Power + NWP,0.17059604948498006,0.28748124962331534,0.08264546888498293,2558,24,61392,8
All modalities,0.04093807597768203,0.08631980556099113,0.007451108832087314,2558,24,61392,9
Power,0.16825315176780198,0.2871849570245869,0.08247519954121384,2558,24,61392,9
Power + NWP,0.16825315176780198,0.2871849570245869,0.08247519954121384,2558,24,61392,9
