stage,experiment,implementation,evaluation,vq_setting,modalities,dataset,train_sites,test_sites,context_length,prediction_length,seed,status,best_epoch,mae,rmse,baseline,mae_abs_change,mae_rel_change_pct,rmse_abs_change,rmse_rel_change_pct,result_path,notes
1,legacy_in_domain_vq_off,legacy,in_domain,all_off,power|future_nwp|satellite,MMSP,0-9,0-9,24,24,42,completed,6,0.041336667,0.092346467,self,0.000000000,0.000,0.000000000,0.000,/home/zhaopp/workspace/FusionSF/logs/fusionSF_legacy_vq_all_off_repro_20260806_seed42/runs/1/csv_logs/version_0/metrics.csv,Legacy VQ ablation baseline
1,legacy_in_domain_partial_vq,legacy,in_domain,ts_on|ctx_on|guide_off,power|future_nwp|satellite,MMSP,0-9,0-9,24,24,42,completed,8,0.040386427,0.087665401,legacy_in_domain_vq_off,-0.000950240,-2.299,-0.004681066,-5.069,/home/zhaopp/workspace/FusionSF/logs/fusionSF_legacy_full_repro_20260806_seed42/runs/1/csv_logs/version_0/metrics.csv,Best legacy result
1,legacy_zero_shot_vq_off,legacy,zero_shot,all_off,power|future_nwp|satellite,MMSP,10-19,0-9,24,24,42,completed,7,0.042496238,0.091152191,self,0.000000000,0.000,0.000000000,0.000,/home/zhaopp/workspace/FusionSF/logs/fusionSF_legacy_zeroshot_vq_all_off_20260806_seed42/runs/1/csv_logs/version_0/metrics.csv,Legacy cross-site baseline
1,legacy_zero_shot_partial_vq,legacy,zero_shot,ts_on|ctx_on|guide_off,power|future_nwp|satellite,MMSP,10-19,0-9,24,24,42,completed_degenerate,1,0.178765759,0.304493129,legacy_zero_shot_vq_off,0.136269521,320.663,0.213340938,234.049,/home/zhaopp/workspace/FusionSF/logs/fusionSF_legacy_zeroshot_vq_paper_best_20260806_seed42/runs/1/csv_logs/version_0/metrics.csv,Degenerate near/all-zero predictions
1,legacy_zero_shot_partial_vq_identity,legacy_output_activation_identity,zero_shot,ts_on|ctx_on|guide_off,power|future_nwp|satellite,MMSP,10-19,0-9,24,24,42,completed,3,0.042264875,0.089217305,legacy_zero_shot_partial_vq,-0.136500884,-76.357,-0.215275824,-70.700,/home/zhaopp/workspace/FusionSF/logs/fusionSF_legacy_zeroshot_vq_paper_best_identity_20260810_seed42/runs/1/csv_logs/version_0/metrics.csv,Identity is the only model change; removed the ReLU near/all-zero degeneration
2,fixed_v1_in_domain_vq_off,pipeline_v1_fixed,in_domain,all_off,power|future_nwp|satellite,MMSP,0-9,0-9,24,24,42,completed,3,0.042090703,0.094815372,self,0.000000000,0.000,0.000000000,0.000,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260807_185653_fusionsf_fixedv1_legacy_matched_vq_all_off_seed42/metrics.json,Chronological split and train-only scaling
2,fixed_v1_in_domain_partial_vq,pipeline_v1_fixed,in_domain,ts_on|ctx_on|guide_off,power|future_nwp|satellite,MMSP,0-9,0-9,24,24,42,completed,50,0.043605144,0.095823426,fixed_v1_in_domain_vq_off,0.001514440,3.598,0.001008054,1.063,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260808_033831_fusionsf_fixedv1_legacy_matched_vq_paper_best_seed42/metrics.json,Completed after the earlier nightly table marked it incomplete
2,fixed_v1_zero_shot_vq_off,pipeline_v1_fixed,zero_shot,all_off,power|future_nwp|satellite,MMSP,10-19,0-9,24,24,42,completed,31,0.043717110,0.090865907,self,0.000000000,0.000,0.000000000,0.000,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260807_172955_fusionsf_fixedv1_legacy_matched_zeroshot_vq_all_off_seed42/metrics.json,Chronological cross-site baseline
2,fixed_v1_zero_shot_partial_vq,pipeline_v1_fixed,zero_shot,ts_on|ctx_on|guide_off,power|future_nwp|satellite,MMSP,10-19,0-9,24,24,42,completed,3,0.042712589,0.086450562,fixed_v1_zero_shot_vq_off,-0.001004521,-2.298,-0.004415345,-4.859,/home/zhaopp/workspace/FusionSF/outputs/pipeline_v1_fixed/20260808_134459_fusionsf_fixedv1_legacy_matched_zeroshot_vq_paper_best_seed42/metrics.json,Best fixed_v1 result
3,chronos2_power_only,pretrained,zero_shot,not_applicable,power,MMSP,none,0-9,24,24,42,completed,,0.066125763,0.137007724,self,0.000000000,0.000,0.000000000,0.000,/home/zhaopp/workspace/FusionSF/outputs/chronos2_baseline/20260808_234955_chronos2_mmsp_power_only/metrics.json,Frozen Chronos-2 median forecast on 25450 windows
3,chronos2_power_future_nwp,pretrained,zero_shot,not_applicable,power|future_nwp,MMSP,none,0-9,24,24,42,completed,,0.067580384,0.138407430,chronos2_power_only,0.001454621,2.200,0.001399706,1.022,/home/zhaopp/workspace/FusionSF/outputs/chronos2_baseline/20260808_235011_chronos2_mmsp_power_future_nwp/metrics.json,Future-only NWP did not improve the baseline
4,stage4b_old_vq_off_aligned,cora_adapter,zero_shot,source_all_off,power|fusion_tokens,MMSP,10-19,0-9,24,24,2021,completed,,0.050858873,0.098768795,chronos2_power_only,-0.015266890,-23.088,-0.038238929,-27.910,/home/zhaopp/workspace/FusionSF/outputs/stage4b_correlation_adapter/20260809_021754_seed2021/metrics.json,Old fixed_v1 clean30 epoch6 cache
4,stage4b_latest_partial_vq_aligned,cora_adapter,zero_shot,source_ts_on|ctx_on|guide_off,power|fusion_tokens,MMSP,10-19,0-9,24,24,2021,completed,17,0.046355557,0.097611664,chronos2_power_only,-0.019770206,-29.898,-0.039396060,-28.755,/home/zhaopp/workspace/FusionSF/outputs/stage4b_correlation_adapter/20260809_023012_latest_partial_vq_seed2021/metrics.json,Best Stage4B validation epoch 17; early stopped after epoch 37
4,stage4b_latest_partial_vq_shuffled,cora_adapter,zero_shot_shuffled_control,source_ts_on|ctx_on|guide_off,power|shuffled_fusion_tokens,MMSP,10-19,0-9,24,24,2021,completed,17,0.070949926,0.139919716,stage4b_latest_partial_vq_aligned,0.024594369,53.056,0.042308052,43.344,/home/zhaopp/workspace/FusionSF/outputs/stage4b_correlation_adapter/20260809_023012_latest_partial_vq_seed2021/metrics.json,Sattolo shuffle with zero fixed points
